Conjunto,Alicuota,Coeficiente
Chaco AHORA 18 Monotributista,0.035,2.0361060019037973
Chaco AHORA 24 Monotributista,0.035,2.4641829042223913
Chubut 1 CUOTA Monotributista,0.05,1
Chubut AHORA 03 Monotributista,0.05,1.1409912041273078
Chubut AHORA 06 Monotributista,0.05,1.290923473758647
Chubut AHORA 12 Monotributista,0.05,1.6663275809728306
Chubut AHORA 18 Monotributista,0.05,2.070542074307504
Chubut AHORA 24 Monotributista,0.05,2.5258437246195866
Córdoba 1 CUOTA Monotributista,0.0475,1
Córdoba AHORA 03 Monotributista,0.0475,1.1405565070890304
Córdoba AHORA 06 Monotributista,0.0475,1.2899072349689318
Córdoba AHORA 12 Monotributista,0.0475,1.6634534503594793
Córdoba AHORA 18 Monotributista,0.0475,2.0646292949330984
Córdoba AHORA 24 Monotributista,0.0475,2.5151595719304805
Corrientes 1 CUOTA Monotributista,0.029,1
Corrientes AHORA 03 Monotributista,0.029,1.1374215009214217
Corrientes AHORA 06 Monotributista,0.029,1.282604938278799
Corrientes AHORA 12 Monotributista,0.029,1.6429813560409325
Corrientes AHORA 18 Monotributista,0.029,2.0230028717721904
Corrientes AHORA 24 Monotributista,0.029,2.4410820992304103
Entre Ríos 1 CUOTA Monotributista,0.035,1
Entre Ríos AHORA 03 Monotributista,0.035,1.1384227666169455
Entre Ríos AHORA 06 Monotributista,0.035,1.2849320699332178
Entre Ríos AHORA 12 Monotributista,0.035,1.6494712807993708
Entre Ríos AHORA 18 Monotributista,0.035,2.0361060019037973
Entre Ríos AHORA 24 Monotributista,0.035,2.4641829042223913
Formosa 1 CUOTA Monotributista,0.03,1
Formosa AHORA 03 Monotributista,0.03,1.137587367611199
Formosa AHORA 06 Monotributista,0.03,1.282990114675534
Formosa AHORA 12 Monotributista,0.03,1.6440533392906411
Formosa AHORA 18 Monotributista,0.03,2.0251612494447104
Formosa AHORA 24 Monotributista,0.03,2.4448734532310064
Jujuy 1 CUOTA Monotributista,0.03,1
Jujuy AHORA 03 Monotributista,0.03,1.137587367611199
Jujuy AHORA 06 Monotributista,0.03,1.282990114675534
Jujuy AHORA 12 Monotributista,0.03,1.6440533392906411
Jujuy AHORA 18 Monotributista,0.03,2.0251612494447104
Jujuy AHORA 24 Monotributista,0.03,2.4448734532310064
La Pampa 1 CUOTA Monotributista,0.028,1
La Pampa AHORA 03 Monotributista,0.028,1.1374215009214217
La Pampa AHORA 06 Monotributista,0.028,1.282604938278799
La Pampa AHORA 12 Monotributista,0.028,1.6429813560409325
La Pampa AHORA 18 Monotributista,0.028,2.0230028717721904
La Pampa AHORA 24 Monotributista,0.028,2.4410820992304103
La Rioja 1 CUOTA Monotributista,0.025,1
La Rioja AHORA 03 Monotributista,0.025,1.1367620290688139
La Rioja AHORA 06 Monotributista,0.025,1.2810748008403716
La Rioja AHORA 12 Monotributista,0.025,1.6387314298253852
La Rioja AHORA 18 Monotributista,0.025,2.0144690551846787
La Rioja AHORA 24 Monotributista,0.025,2.4261456067239044
Mendoza 1 CUOTA Monotributista,0.0275,1
Mendoza AHORA 03 Monotributista,0.0275,1.1374215009214217
Mendoza AHORA 06 Monotributista,0.0275,1.282604938278799
Mendoza AHORA 12 Monotributista,0.0275,1.6429813560409325
Mendoza AHORA 18 Monotributista,0.0275,2.0230028717721904
Mendoza AHORA 24 Monotributista,0.0275,2.4410820992304103
Misiones 1 CUOTA Monotributista,0.025,1
Misiones AHORA 03 Monotributista,0.025,1.1367620290688139
Misiones AHORA 06 Monotributista,0.025,1.2810748008403716
Misiones AHORA 12 Monotributista,0.025,1.6387314298253852
Misiones AHORA 18 Monotributista,0.025,2.0144690551846787
Misiones AHORA 24 Monotributista,0.025,2.4261456067239044
Neuquén 1 CUOTA Monotributista,0.03,1
Neuquén AHORA 03 Monotributista,0.03,1.137587367611199
Neuquén AHORA 06 Monotributista,0.03,1.282990114675534
Neuquén AHORA 12 Monotributista,0.03,1.6440533392906411
Neuquén AHORA 18 Monotributista,0.03,2.0251612494447104
Neuquén AHORA 24 Monotributista,0.03,2.4448734532310064
Río Negro 1 CUOTA Monotributista,0.033,1
Río Negro AHORA 03 Monotributista,0.033,1.138087387990456
Río Negro AHORA 06 Monotributista,0.033,1.28415205529682
